2018-06-30 23:31:07,825 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:31:07,828 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:31:07,828 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:31:08,137 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-06-30 23:31:08,139 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:31:08,187 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:31:08,285 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:31:08,291 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://sampleInput
2018-06-30 23:31:08,292 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:31:08,295 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.155 seconds
2018-06-30 23:31:13,302 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2018-06-30 23:31:13,302 | INFO | CamelTestSupport.java 390 | Testing done: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:31:13,303 | INFO | CamelTestSupport.java 391 | Took: 5.007 seconds (5007 millis)
2018-06-30 23:31:13,303 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2018-06-30 23:31:13,304 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-06-30 23:31:13,305 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-06-30 23:31:13,310 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://sampleInput
2018-06-30 23:31:13,310 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-06-30 23:31:13,323 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.186 seconds
2018-06-30 23:31:13,323 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.019 seconds
2018-06-30 23:35:13,693 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:35:13,696 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectTest(com.learn.camel.direct.SampleDirectRouteTest)
2018-06-30 23:35:13,696 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:35:19,308 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-06-30 23:35:19,309 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:35:19,347 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:35:19,430 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:35:19,436 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://sampleInput
2018-06-30 23:35:19,436 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:35:19,439 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.129 seconds
2018-06-30 23:35:19,451 | INFO | CamelLogger.java 159 | received input is 3483234, Sumit Sehnoy, Bangalore and header are {breadcrumbId=ID-8c8590783368-1530381913763-0-1}
2018-06-30 23:35:25,906 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2018-06-30 23:35:25,907 | INFO | CamelTestSupport.java 390 | Testing done: SamepleDirectTest(com.learn.camel.direct.SampleDirectRouteTest)
2018-06-30 23:35:25,907 | INFO | CamelTestSupport.java 391 | Took: 6.466 seconds (6466 millis)
2018-06-30 23:35:25,907 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2018-06-30 23:35:25,914 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-06-30 23:35:25,916 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-06-30 23:35:25,924 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://sampleInput
2018-06-30 23:35:25,925 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-06-30 23:35:25,940 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 6.633 seconds
2018-06-30 23:35:25,940 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.026 seconds
2018-06-30 23:35:25,947 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:35:25,947 | INFO | CamelTestSupport.java 244 | Testing: FileCopyTest(com.learn.camel.file.FileCopyRouterTest)
2018-06-30 23:35:25,947 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:35:25,950 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-2) is starting
2018-06-30 23:35:25,950 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:35:25,953 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:35:25,957 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:35:25,960 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-06-30 23:35:25,961 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-06-30 23:35:25,968 | INFO | DefaultCamelContext.java 4026 | Route: route2 started and consuming from: file://data/input?noop=true
2018-06-30 23:35:25,968 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:35:25,968 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-2) started in 0.019 seconds
2018-06-30 23:35:30,709 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:35:30,712 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:35:30,712 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:35:31,231 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-06-30 23:35:31,232 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:35:31,300 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:35:31,429 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:35:31,436 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://sampleInput
2018-06-30 23:35:31,436 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:35:31,440 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.207 seconds
2018-06-30 23:35:44,221 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2018-06-30 23:35:44,221 | INFO | CamelTestSupport.java 390 | Testing done: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:35:44,222 | INFO | CamelTestSupport.java 391 | Took: 12.781 seconds (12781 millis)
2018-06-30 23:35:44,222 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2018-06-30 23:35:44,223 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-06-30 23:35:44,224 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-06-30 23:35:44,234 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://sampleInput
2018-06-30 23:35:44,234 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-06-30 23:35:44,249 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 13.019 seconds
2018-06-30 23:35:44,250 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.027 seconds
2018-06-30 23:36:01,796 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:36:01,799 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:36:01,799 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:36:02,234 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-06-30 23:36:02,236 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:36:02,290 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:36:02,412 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:36:02,420 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://sampleInput
2018-06-30 23:36:02,421 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:36:02,425 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.187 seconds
2018-06-30 23:36:31,104 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2018-06-30 23:36:31,104 | INFO | CamelTestSupport.java 390 | Testing done: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:36:31,105 | INFO | CamelTestSupport.java 391 | Took: 28.678 seconds (28678 millis)
2018-06-30 23:36:31,105 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2018-06-30 23:36:31,106 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-06-30 23:36:31,107 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-06-30 23:36:31,117 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://sampleInput
2018-06-30 23:36:31,117 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-06-30 23:36:31,135 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 28.901 seconds
2018-06-30 23:36:31,135 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.029 seconds
2018-06-30 23:36:41,260 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:36:41,263 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:36:41,263 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:36:41,697 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-06-30 23:36:41,698 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:36:41,775 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:36:41,911 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:36:41,920 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://sampleInput
2018-06-30 23:36:41,920 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:36:41,924 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.224 seconds
2018-06-30 23:36:46,167 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:36:46,169 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:36:46,169 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:36:46,565 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-06-30 23:36:46,566 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:36:46,626 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:36:46,709 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:36:46,715 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://sampleInput
2018-06-30 23:36:46,715 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:36:46,718 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.151 seconds
2018-06-30 23:36:46,927 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2018-06-30 23:36:46,928 | INFO | CamelTestSupport.java 390 | Testing done: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:36:46,928 | INFO | CamelTestSupport.java 391 | Took: 5.003 seconds (5003 millis)
2018-06-30 23:36:46,928 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2018-06-30 23:36:46,929 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-06-30 23:36:46,929 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
